楼盘,区域,地址,朝向,房型,面积,层高,建造年份,单价,总价,优势1,优势2,优势3
康田栖樾,大渡口,茄子溪,南北,3室2厅2卫,95㎡,高层(共18层),2014年建造,8211元/㎡,78万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,3室2厅2卫,116㎡,低层(共18层),2017年建造,9052元/㎡,105万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,3室2厅2卫,97㎡,中层(共18层),2018年建造,8763元/㎡,85万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,3室2厅2卫,99㎡,高层(共18层),2014年建造,9091元/㎡,90万,满二年,近地铁,车位充足
天泰钢城印象(C区),大渡口,茄子溪,南北,3室2厅2卫,119㎡,高层(共32层),2015年建造,9244元/㎡,110万,满二年,近地铁,车位充足
绿地城(二期),大渡口,茄子溪,南北,3室2厅2卫,114.23㎡,中层(共7层),2019年建造,9630元/㎡,110万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,3室2厅2卫,85㎡,低层(共18层),2014年建造,9412元/㎡,80万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,2室2厅2卫,85.8㎡,中层(共18层),2014年建造,8392元/㎡,72万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,4室2厅2卫,136.02㎡,中层(共8层),2016年建造,9558元/㎡,130万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,3室2厅2卫,120㎡,高层(共7层),2017年建造,8750元/㎡,105万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,4室2厅2卫,136㎡,高层(共7层),2015年建造,9486元/㎡,129万,满二年,近地铁,车位充足
绿地城(二期),大渡口,茄子溪,南北,3室2厅2卫,116.15㎡,中层(共8层),2019年建造,9385元/㎡,109万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,3室2厅2卫,97.74㎡,低层(共18层),2017年建造,9004元/㎡,88万,满二年,近地铁,车位充足
绿地城(二期),大渡口,茄子溪,南北,3室2厅2卫,85.77㎡,中层(共30层),2019年建造,8395元/㎡,72万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,3室2厅2卫,97.5㎡,高层(共18层),2019年建造,8206元/㎡,80万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,3室2厅2卫,121.23㎡,高层(共8层),2019年建造,8827元/㎡,107万,满二年,近地铁,车位充足
天泰钢城印象(B区),大渡口,茄子溪,南北,3室2厅2卫,86.04㎡,高层(共33层),2019年建造,8369元/㎡,72万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,3室2厅2卫,84㎡,低层(共8层),2021年建造,9524元/㎡,80万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,4室2厅2卫,148.87㎡,中层(共8层),2015年建造,14778元/㎡,220万,满二年,近地铁,车位充足
绿地城(二期),大渡口,茄子溪,南北,3室2厅2卫,135.08㎡,低层(共8层),2014年建造,8144元/㎡,110万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,4室2厅2卫,138㎡,中层(共8层),2017年建造,9058元/㎡,125万,满二年,近地铁,车位充足
天泰钢城印象(C区),大渡口,茄子溪,南北,3室2厅2卫,91㎡,高层(共32层),2018年建造,8242元/㎡,75万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,4室2厅2卫,138㎡,中层(共7层),2016年建造,9421元/㎡,130万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,4室2厅2卫,131㎡,低层(共8层),2016年建造,9161元/㎡,120万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,4室2厅2卫,131㎡,低层(共8层),2016年建造,9161元/㎡,120万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,4室2厅2卫,135.98㎡,中层(共7层),2020年建造,9193元/㎡,125万,满二年,近地铁,车位充足
天泰钢城印象(B区),大渡口,茄子溪,南北,3室2厅2卫,98.44㎡,中层(共32层),2021年建造,9143元/㎡,90万,满二年,近地铁,车位充足
联发君领西城,大渡口,茄子溪,南北,3室2厅2卫,132.34㎡,中层(共8层),2021年建造,8010元/㎡,106万,满二年,近地铁,车位充足
天泰钢城印象(B区),大渡口,茄子溪,南北,3室2厅2卫,86.73㎡,低层(共33层),2018年建造,7956元/㎡,69万,满二年,近地铁,车位充足
天泰钢城印象(B区),大渡口,茄子溪,南北,3室2厅2卫,98.44㎡,低层(共33层),2021年建造,8534元/㎡,84万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,3室2厅2卫,109.95㎡,中层(共18层),2014年建造,8095元/㎡,89万,满二年,近地铁,车位充足
联发君领西城,大渡口,茄子溪,南北,3室2厅2卫,132.3㎡,高层(共11层),2021年建造,7861元/㎡,104万,满二年,近地铁,车位充足
联发君领西城,大渡口,茄子溪,南北,3室2厅2卫,132㎡,高层(共8层),2020年建造,8258元/㎡,109万,满二年,近地铁,车位充足
天泰钢城印象(A区),大渡口,茄子溪,南北,3室2厅2卫,97.52㎡,低层(共33层),2021年建造,7999元/㎡,78万,满二年,近地铁,车位充足
天泰钢城印象(A区),大渡口,茄子溪,南北,3室2厅2卫,97.58㎡,高层(共32层),2021年建造,8199元/㎡,80万,满二年,近地铁,车位充足
绿地城(二期),大渡口,茄子溪,南北,3室2厅2卫,83.9㎡,中层(共33层),2018年建造,6866元/㎡,57.6万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,3室2厅2卫,116㎡,高层(共18层),2015年建造,8190元/㎡,95万,满二年,近地铁,车位充足
绿地城(二期),大渡口,茄子溪,南北,3室2厅2卫,110.66㎡,高层(共7层),2018年建造,7682元/㎡,85万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,3室2厅2卫,108㎡,高层(共18层),2019年建造,8149元/㎡,88万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,3室2厅2卫,148.66㎡,中层(共8层),2016年建造,9418元/㎡,140万,满二年,近地铁,车位充足
绿地城(二期),大渡口,茄子溪,南北,3室2厅2卫,85.77㎡,低层(共25层),2018年建造,6856元/㎡,58.8万,满二年,近地铁,车位充足
联发君领西城,大渡口,茄子溪,南北,3室2厅2卫,100㎡,低层(共8层),2018年建造,7600元/㎡,76万,满二年,近地铁,车位充足
天泰钢城印象(B区),大渡口,茄子溪,南北,3室2厅2卫,100㎡,高层(共33层),2018年建造,7900元/㎡,79万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,4室2厅2卫,145.58㎡,中层(共7层),2016年建造,9617元/㎡,140万,满二年,近地铁,车位充足
绿地城(二期),大渡口,茄子溪,南北,4室2厅2卫,111.83㎡,高层(共32层),2020年建造,8048元/㎡,90万,满二年,近地铁,车位充足
绿地城(二期),大渡口,茄子溪,南北,3室2厅2卫,102.67㎡,中层(共30层),2019年建造,8279元/㎡,85万,满二年,近地铁,车位充足
绿地城(二期),大渡口,茄子溪,南北,3室2厅2卫,84.17㎡,中层(共33层),2018年建造,7723元/㎡,65万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,2室2厅2卫,83㎡,低层(共18层),2018年建造,8434元/㎡,70万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,2室2厅2卫,82㎡,中层(共18层),2015年建造,8537元/㎡,70万,满二年,近地铁,车位充足
天泰钢城印象(C区),大渡口,茄子溪,南北,3室2厅2卫,90.33㎡,中层(共30层),2016年建造,7528元/㎡,68万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,2室2厅2卫,83㎡,高层(共18层),2014年建造,8073元/㎡,67万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,3室2厅2卫,83.89㎡,低层(共18层),2018年建造,7868元/㎡,66万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,2室1厅1卫,82.62㎡,高层(共22层),2016年建造,8473元/㎡,70万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,3室2厅2卫,85.8㎡,低层(共18层),2018年建造,7926元/㎡,68万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,3室2厅2卫,82.62㎡,低层(共18层),2018年建造,7940元/㎡,65.6万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,3室2厅2卫,82㎡,低层(共18层),2018年建造,7671元/㎡,62.9万,满二年,近地铁,车位充足
绿地城(二期),大渡口,茄子溪,南北,3室2厅2卫,102.45㎡,高层(共22层),2020年建造,6931元/㎡,71万,满二年,近地铁,车位充足
康田栖樾,大渡口,茄子溪,南北,2室2厅2卫,85㎡,高层(共18层),2020年建造,8000元/㎡,68万,满二年,近地铁,车位充足
绿地城(二期),大渡口,茄子溪,南北,3室2厅2卫,84.16㎡,低层(共33层),2019年建造,7486元/㎡,63万,满二年,近地铁,车位充足
绿地城(二期),大渡口,茄子溪,南北,3室2厅2卫,84.04㎡,中层(共33层),2020年建造,8270元/㎡,69.5万,满二年,近地铁,车位充足
绿地城(二期),大渡口,茄子溪,南北,3室2厅2卫,83.96㎡,中层(共30层),2019年建造,7504元/㎡,63万,满二年,近地铁,车位充足
天泰钢城印象(B区),大渡口,茄子溪,南北,3室2厅2卫,100.19㎡,低层(共33层),2018年建造,8784元/㎡,88万,满二年,近地铁,车位充足
绿地城(二期),大渡口,茄子溪,南北,3室2厅2卫,85.77㎡,高层(共30层),2019年建造,8162元/㎡,70万,满二年,近地铁,车位充足
绿地城(二期),大渡口,茄子溪,南北,3室2厅2卫,102.38㎡,低层(共33层),2018年建造,7326元/㎡,75万,满二年,近地铁,车位充足
绿地城(二期),大渡口,茄子溪,南北,3室2厅2卫,84.04㎡,高层(共25层),2020年建造,7140元/㎡,60万,满二年,近地铁,车位充足
天泰钢城印象(B区),大渡口,茄子溪,南北,3室2厅2卫,100㎡,低层(共31层),2021年建造,8000元/㎡,80万,满二年,近地铁,车位充足
联发君领西城,大渡口,茄子溪,南北,3室2厅2卫,142㎡,低层(共8层),2021年建造,7677元/㎡,109万,满二年,近地铁,车位充足
绿地城(二期),大渡口,茄子溪,南北,3室2厅2卫,84.04㎡,中层(共33层),2018年建造,7616元/㎡,64万,满二年,近地铁,车位充足
绿地城(二期),大渡口,茄子溪,南北,3室2厅2卫,116.13㎡,低层(共7层),2020年建造,8525元/㎡,99万,满二年,近地铁,车位充足
绿地城(二期),大渡口,茄子溪,南北,3室2厅2卫,110.63㎡,高层(共7层),2020年建造,7232元/㎡,80万,满二年,近地铁,车位充足
绿地城(二期),大渡口,茄子溪,南北,3室2厅2卫,116㎡,低层(共7层),2019年建造,8018元/㎡,93万,满二年,近地铁,车位充足
绿地城(二期),大渡口,茄子溪,南北,4室2厅2卫,116.25㎡,中层(共8层),2019年建造,7312元/㎡,85万,满二年,近地铁,车位充足
绿地城(一期),大渡口,茄子溪,南北,3室2厅2卫,83.55㎡,低层(共18层),2016年建造,6284元/㎡,52.5万,满二年,近地铁,
绿地城(一期),大渡口,茄子溪,南北,3室2厅2卫,83.55㎡,低层(共18层),2016年建造,6284元/㎡,52.5万,满二年,近地铁,
绿地城(一期),大渡口,茄子溪,南北,3室2厅2卫,102.58㎡,高层(共18层),2018年建造,7019元/㎡,72万,满二年,近地铁,
绿地城(一期),大渡口,茄子溪,南北,3室2厅2卫,95㎡,中层(共18层),2016年建造,8106元/㎡,77万,满二年,近地铁,
绿地城(一期),大渡口,茄子溪,南北,3室2厅2卫,81.47㎡,中层(共18层),2016年建造,6997元/㎡,57万,满二年,近地铁,
绿地城(一期),大渡口,茄子溪,南北,3室2厅2卫,102.58㎡,低层(共18层),2017年建造,7409元/㎡,76万,满二年,近地铁,
绿地城(一期),大渡口,茄子溪,南北,3室2厅2卫,102.58㎡,低层(共18层),2017年建造,7019元/㎡,72万,满二年,近地铁,
西城佳园,大渡口,茄子溪,南北,3室2厅2卫,88㎡,低层(共30层),2017年建造,6137元/㎡,54万,满二年,近地铁,
绿地城(一期),大渡口,茄子溪,南北,2室2厅2卫,82㎡,高层(共18层),2016年建造,8293元/㎡,68万,满二年,近地铁,
绿地城(一期),大渡口,茄子溪,南北,3室2厅2卫,82.45㎡,高层(共10层),2017年建造,7035元/㎡,58万,满二年,近地铁,
龙桥花苑五组团,大渡口,茄子溪,南北,2室2厅2卫,54.7㎡,中层(共26层),2019年建造,6728元/㎡,36.8万,满二年,次新房,
融创春晖十里御峰庭,大渡口,茄子溪,南北,4室2厅2卫,105㎡,中层(共33层),2019年建造,8572元/㎡,90万,满二年,次新房,
龙桥花苑五组团,大渡口,茄子溪,南北,2室2厅2卫,54.7㎡,中层(共26层),2019年建造,6728元/㎡,36.8万,满二年,次新房,
融创春晖十里御峰庭,大渡口,茄子溪,南北,4室2厅2卫,105㎡,低层(共33层),2019年建造,10096元/㎡,106万,满二年,次新房,
佳兆业滨江新城江上澜庭,大渡口,茄子溪,南北,3室2厅2卫,105㎡,低层(共26层),2019年建造,11429元/㎡,120万,满二年,次新房,
卓越西麓九里西苑,大渡口,茄子溪,南北,3室2厅2卫,111.36㎡,低层(共13层),2020年建造,10776元/㎡,120万,满二年,次新房,
佳兆业滨江新城江城时光,大渡口,茄子溪,南北,3室2厅2卫,94㎡,中层(共30层),2019年建造,9149元/㎡,86万,满二年,次新房,
融创春晖十里御峰庭,大渡口,茄子溪,南北,4室2厅2卫,105.19㎡,低层(共32层),2019年建造,10268元/㎡,108万,满二年,次新房,
融创春晖十里御峰庭,大渡口,茄子溪,南北,4室2厅2卫,105㎡,低层(共33层),2019年建造,10477元/㎡,110万,满二年,次新房,
融创春晖十里雍江府,大渡口,茄子溪,南北,3室2厅2卫,118㎡,高层(共18层),2019年建造,11017元/㎡,130万,满二年,次新房,
佳兆业滨江新城玺江序,大渡口,茄子溪,南北,3室2厅2卫,112㎡,低层(共11层),2021年建造,10536元/㎡,118万,满二年,次新房,
佳兆业滨江新城江城时光,大渡口,茄子溪,南北,3室2厅2卫,95㎡,中层(共26层),2020年建造,10316元/㎡,98万,满二年,次新房,
融创春晖十里御峰庭,大渡口,茄子溪,南北,3室2厅2卫,81.89㎡,低层(共31层),2019年建造,10991元/㎡,90万,满二年,次新房,
凰腾西宸昱府,大渡口,茄子溪,南北,4室2厅2卫,115㎡,中层(共8层),2021年建造,10087元/㎡,116万,满二年,次新房,
凰腾西宸昱府,大渡口,茄子溪,南北,4室2厅2卫,115㎡,中层(共8层),2021年建造,10174元/㎡,117万,满二年,次新房,
凰腾西宸昱府,大渡口,茄子溪,南北,4室2厅2卫,114㎡,高层(共9层),2022年建造,10527元/㎡,120万,满二年,次新房,
融创春晖十里御峰庭,大渡口,茄子溪,南北,3室2厅2卫,93㎡,中层(共31层),2019年建造,10216元/㎡,95万,满二年,次新房,
融创春晖十里雍璟府,大渡口,茄子溪,南北,4室2厅2卫,142.4㎡,低层(共8层),2020年建造,10324元/㎡,147万,满二年,次新房,
融创春晖十里雍江府,大渡口,茄子溪,南北,4室2厅2卫,142㎡,高层(共8层),2019年建造,10212元/㎡,145万,满二年,次新房,
佳兆业滨江新城玺江序,大渡口,茄子溪,南北,4室2厅2卫,149.19㎡,中层(共8层),2020年建造,11395元/㎡,170万,满二年,次新房,
佳兆业滨江新城江上澜庭,大渡口,茄子溪,南北,3室2厅2卫,105㎡,低层(共28层),2019年建造,9143元/㎡,96万,满二年,次新房,
佳兆业滨江新城江城时光,大渡口,茄子溪,南北,3室2厅2卫,101㎡,中层(共33层),2019年建造,8416元/㎡,85万,满二年,次新房,
佳兆业滨江新城江城时光,大渡口,茄子溪,南北,3室2厅2卫,89㎡,中层(共30层),2020年建造,9551元/㎡,85万,满二年,次新房,
佳兆业滨江新城玺江序,大渡口,茄子溪,南北,4室2厅2卫,149㎡,低层(共6层),2022年建造,10846元/㎡,161.6万,满二年,次新房,
佳兆业滨江新城江城时光,大渡口,茄子溪,南北,4室2厅2卫,125㎡,中层(共33层),2019年建造,8080元/㎡,101万,满二年,次新房,
佳兆业滨江新城玺江序,大渡口,茄子溪,南北,4室2厅2卫,150㎡,低层(共8层),2019年建造,10667元/㎡,160万,满二年,次新房,
佳兆业滨江新城江城时光,大渡口,茄子溪,南北,3室2厅2卫,95㎡,中层(共32层),2020年建造,8211元/㎡,78万,满二年,次新房,
融创春晖十里雍江府,大渡口,茄子溪,南北,4室2厅2卫,118㎡,高层(共18层),2019年建造,9746元/㎡,115万,满二年,次新房,
佳兆业滨江新城玺江序,大渡口,茄子溪,南北,4室2厅2卫,149㎡,高层(共17层),2021年建造,11074元/㎡,165万,满二年,次新房,
佳兆业滨江新城江城时光,大渡口,茄子溪,南北,3室2厅2卫,94.7㎡,低层(共33层),2019年建造,7920元/㎡,75万,满二年,次新房,
佳兆业滨江新城江城时光,大渡口,茄子溪,南北,3室2厅2卫,95㎡,低层(共32层),2020年建造,8422元/㎡,80万,满二年,次新房,
佳兆业滨江新城江城时光,大渡口,茄子溪,南北,3室2厅2卫,99㎡,中层(共33层),2019年建造,8081元/㎡,80万,满二年,次新房,
融创春晖十里御峰庭,大渡口,茄子溪,南北,3室1厅1卫,93.34㎡,中层(共34层),2019年建造,8571元/㎡,80万,满二年,次新房,
融创春晖十里御峰庭,大渡口,茄子溪,南北,3室2厅2卫,93㎡,高层(共31层),2019年建造,8603元/㎡,80万,满二年,次新房,
佳兆业滨江新城江城时光,大渡口,茄子溪,南北,3室2厅2卫,101㎡,高层(共33层),2019年建造,8218元/㎡,83万,满二年,次新房,
卓越西麓九里西苑,大渡口,茄子溪,南北,3室2厅2卫,92.17㎡,高层(共13层),2021年建造,8355元/㎡,77万,满二年,次新房,
卓越西麓九里西苑,大渡口,茄子溪,南北,3室2厅2卫,90.54㎡,高层(共13层),2021年建造,8395元/㎡,76万,满二年,次新房,
佳兆业滨江新城江城时光,大渡口,茄子溪,南北,4室2厅2卫,126㎡,高层(共32层),2020年建造,8731元/㎡,110万,满二年,次新房,
凰腾西宸昱府,大渡口,茄子溪,南北,4室2厅2卫,115㎡,低层(共8层),2021年建造,10000元/㎡,115万,满二年,次新房,
凰腾西宸昱府,大渡口,茄子溪,南北,4室2厅2卫,115㎡,中层(共8层),2021年建造,10000元/㎡,115万,满二年,次新房,
凰腾西宸昱府,大渡口,茄子溪,南北,4室2厅2卫,115㎡,中层(共8层),2022年建造,9479元/㎡,109万,满二年,次新房,
佳兆业滨江新城江城时光,大渡口,茄子溪,南北,3室2厅2卫,101㎡,低层(共32层),2020年建造,8416元/㎡,85万,满二年,次新房,
融创春晖十里御峰庭,大渡口,茄子溪,南北,3室2厅2卫,82.26㎡,高层(共34层),2020年建造,9726元/㎡,80万,满二年,次新房,
佳兆业滨江新城江上澜庭,大渡口,茄子溪,南北,3室2厅2卫,95㎡,中层(共33层),2021年建造,9264元/㎡,88万,满二年,次新房,
佳兆业滨江新城江城时光,大渡口,茄子溪,南北,3室2厅2卫,116.88㎡,低层(共33层),2019年建造,7701元/㎡,90万,满二年,次新房,
凰腾西宸昱府,大渡口,茄子溪,南北,3室2厅2卫,95㎡,低层(共8层),2021年建造,9432元/㎡,89.6万,满二年,次新房,
凰腾西宸昱府,大渡口,茄子溪,南北,3室2厅2卫,99㎡,低层(共8层),2022年建造,9778元/㎡,96.8万,满二年,次新房,
凰腾西宸昱府,大渡口,茄子溪,南北,3室2厅2卫,98㎡,低层(共8层),2022年建造,9490元/㎡,93万,满二年,次新房,
凰腾西宸昱府,大渡口,茄子溪,南北,3室2厅2卫,86㎡,低层(共8层),2021年建造,9419元/㎡,81万,满二年,次新房,
卓越西麓九里西苑,大渡口,茄子溪,南北,3室2厅2卫,91.25㎡,低层(共11层),2019年建造,9644元/㎡,88万,满二年,次新房,
佳兆业滨江新城江城时光,大渡口,茄子溪,南北,3室2厅2卫,100㎡,高层(共24层),2021年建造,8400元/㎡,84万,满二年,次新房,
凰腾西宸昱府,大渡口,茄子溪,南北,4室2厅2卫,114㎡,低层(共8层),2021年建造,9650元/㎡,110万,满二年,次新房,
绿地听江左岸,大渡口,茄子溪,南北,4室2厅2卫,98.36㎡,低层(共8层),2019年建造,7605元/㎡,74.8万,满二年,车位充足,采光较好
琅樾江山,大渡口,茄子溪,南北,3室2厅2卫,97㎡,高层(共17层),2018年建造,10825元/㎡,105万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,3室2厅2卫,104.82㎡,中层(共20层),2018年建造,10495元/㎡,110万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,3室2厅2卫,107㎡,高层(共7层),2019年建造,10561元/㎡,113万,满二年,车位充足,
融创春晖十里雍和府,大渡口,茄子溪,南北,3室2厅2卫,81.86㎡,中层(共32层),2017年建造,13438元/㎡,110万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,3室2厅2卫,115.09㎡,中层(共7层),2020年建造,10340元/㎡,119万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,3室2厅2卫,115.3㎡,中层(共6层),2021年建造,10391元/㎡,119.8万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,3室2厅2卫,96.6㎡,高层(共16层),2018年建造,10352元/㎡,100万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,3室2厅2卫,111.86㎡,高层(共11层),2020年建造,10549元/㎡,118万,满二年,车位充足,
卓越西麓九里东苑,大渡口,茄子溪,南北,3室2厅2卫,105.88㎡,高层(共7层),2020年建造,10012元/㎡,106万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,4室2厅2卫,102.44㎡,高层(共7层),2018年建造,14643元/㎡,150万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,4室2厅2卫,124.23㎡,中层(共20层),2018年建造,10465元/㎡,130万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,3室2厅2卫,97.35㎡,高层(共17层),2019年建造,10067元/㎡,98万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,4室2厅2卫,105.56㎡,高层(共7层),2018年建造,13263元/㎡,140万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,4室2厅2卫,138.62㎡,中层(共7层),2018年建造,10533元/㎡,146万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,3室2厅2卫,120.66㎡,高层(共7层),2018年建造,12018元/㎡,145万,满二年,车位充足,
融创春晖十里岚峰庭,大渡口,茄子溪,南北,4室2厅2卫,104.87㎡,低层(共32层),2018年建造,10871元/㎡,114万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,4室2厅2卫,135.3㎡,高层(共7层),2018年建造,10348元/㎡,140万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,4室2厅2卫,123.18㎡,高层(共17层),2018年建造,10250元/㎡,126.3万,满二年,车位充足,
卓越西麓九里东苑,大渡口,茄子溪,南北,3室2厅2卫,105.88㎡,中层(共8层),2020年建造,10201元/㎡,108万,满二年,车位充足,
卓越西麓九里东苑,大渡口,茄子溪,南北,3室2厅2卫,102.7㎡,低层(共8层),2020年建造,10322元/㎡,106万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,4室2厅2卫,136.5㎡,中层(共7层),2019年建造,10990元/㎡,150万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,4室2厅2卫,136.4㎡,中层(共8层),2020年建造,10411元/㎡,142万,满二年,车位充足,
卓越西麓九里东苑,大渡口,茄子溪,南北,3室2厅2卫,104.73㎡,低层(共13层),2021年建造,10026元/㎡,105万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,4室2厅2卫,123.18㎡,高层(共20层),2020年建造,8768元/㎡,108万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,4室2厅2卫,138.42㎡,中层(共7层),2019年建造,10042元/㎡,139万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,4室2厅2卫,123㎡,低层(共8层),2019年建造,10570元/㎡,130万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,4室2厅2卫,120㎡,高层(共11层),2020年建造,10667元/㎡,128万,满二年,车位充足,
融创春晖十里岚峰庭,大渡口,茄子溪,南北,4室2厅2卫,105.39㎡,低层(共34层),2018年建造,10912元/㎡,115万,满二年,车位充足,
融创春晖十里岚峰庭,大渡口,茄子溪,南北,3室2厅2卫,82.57㎡,中层(共32层),2018年建造,10658元/㎡,88万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,3室1厅1卫,75.28㎡,高层(共20层),2018年建造,10627元/㎡,80万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,3室2厅2卫,75.28㎡,高层(共20层),2018年建造,10468元/㎡,78.8万,满二年,车位充足,
绿地听江左岸,大渡口,茄子溪,南北,4室2厅2卫,129㎡,低层(共7层),2021年建造,10078元/㎡,130万,满二年,车位充足,
绿地听江左岸,大渡口,茄子溪,南北,4室2厅2卫,128㎡,低层(共8层),2021年建造,10547元/㎡,135万,满二年,车位充足,
融创春晖十里岚峰庭,大渡口,茄子溪,南北,4室2厅2卫,104.87㎡,中层(共32层),2018年建造,10490元/㎡,110万,满二年,车位充足,
卓越西麓九里东苑,大渡口,茄子溪,南北,4室2厅2卫,131.23㎡,高层(共13层),2021年建造,11431元/㎡,150万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,2室2厅2卫,73.22㎡,高层(共20层),2019年建造,12975元/㎡,95万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,4室2厅2卫,149.88㎡,低层(共7层),2019年建造,10009元/㎡,150万,满二年,车位充足,
融创春晖十里雍和府,大渡口,茄子溪,南北,3室2厅2卫,82.21㎡,中层(共34层),2019年建造,10097元/㎡,83万,满二年,车位充足,
融创春晖十里岚峰庭,大渡口,茄子溪,南北,3室2厅2卫,82.23㎡,中层(共33层),2018年建造,10556元/㎡,86.8万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,2室2厅2卫,72.6㎡,高层(共20层),2019年建造,11708元/㎡,85万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,5室3厅3卫,72㎡,低层(共11层),2018年建造,11112元/㎡,80万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,2室2厅2卫,69.71㎡,高层(共17层),2019年建造,10042元/㎡,70万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,2室2厅2卫,65.28㎡,高层(共16层),2018年建造,10724元/㎡,70万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,4室2厅2卫,123.18㎡,低层(共20层),2018年建造,12584元/㎡,155万,满二年,车位充足,
融创春晖十里雍和府,大渡口,茄子溪,南北,2室1厅1卫,72.12㎡,中层(共8层),2017年建造,11093元/㎡,80万,满二年,车位充足,
融创春晖十里岚峰庭,大渡口,茄子溪,南北,3室2厅2卫,82.15㎡,中层(共32层),2019年建造,9495元/㎡,78万,满二年,车位充足,
融创春晖十里雍和府,大渡口,茄子溪,南北,3室2厅2卫,105㎡,高层(共8层),2018年建造,14762元/㎡,155万,满二年,车位充足,
融创春晖十里雍和府,大渡口,茄子溪,南北,2室2厅2卫,72.12㎡,低层(共8层),2018年建造,11093元/㎡,80万,满二年,车位充足,
恒大麓山湖(三期),大渡口,茄子溪,南北,4室2厅2卫,125.02㎡,高层(共6层),2019年建造,13598元/㎡,170万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,5室2厅2卫,154.76㎡,低层(共8层),2020年建造,12148元/㎡,188万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,4室2厅2卫,151.69㎡,低层(共7层),2019年建造,15163元/㎡,230万,满二年,车位充足,
琅樾江山,大渡口,茄子溪,南北,3室2厅2卫,103.86㎡,高层(共11层),2018年建造,9918元/㎡,103万,满二年,车位充足,
